x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89669.82634826488,43133.24935924902,0.0,0.0,0.0,-0.8641775047575619,0.5031870827743832,15.0
89668.2388975564,43130.45242228646,0.0,0.0,0.0,-0.8567052353123144,0.5158063006482879,15.0
89666.87822552054,43127.882263996544,0.0,0.0,0.0,-0.8760856354219352,0.48215553445682235,15.0
89665.44196059382,43125.61447727014,0.0,0.0,0.0,-0.8683274209497469,0.4959914213237574,15.0
89663.61899387454,43122.9598963162,0.0,0.0,0.0,-0.9657707506138885,0.2593971034122904,15.0
89661.093870985,43120.77716297101,0.0,0.0,0.0,-0.958760558299818,0.28421504507787987,15.0
89659.08233241197,43119.45040348668,0.0,0.0,0.0,-0.9705122143351904,0.2410519483974468,15.0
89657.52018011591,43118.50883223973,0.0,0.0,0.0,-0.3152122408813598,0.19267926824332562,15.0
89656.2175914071,43117.75092694983,0.0,0.0,0.0,0.3400877325724708,0.14430658808920444,15.0
89654.90169851093,43116.99898815202,0.0,0.0,0.0,0.9953877060263016,0.0959339079350832,15.0
89652.8025360337,43116.873665019055,0.0,0.0,0.0,0.992551697522738,0.11777507626192987,20.0
89650.92268903919,43117.24963441796,0.0,0.0,0.0,0.9897156890191743,0.13961624458877656,25.0
89649.01151126141,43118.220888698466,0.0,0.0,0.0,0.9868796805156107,0.16145741291562324,30.0
89647.03767191716,43119.00415827952,0.0,0.0,0.0,0.9828388597749671,0.18446619125531533,35.0
89644.53077677736,43120.13518257536,0.0,0.0,0.0,0.9828388597749282,0.18446619125552244,35.0
89642.17684865999,43121.09815316882,0.0,0.0,0.0,0.9801146773240839,0.19843190089778148,35.0
89640.2352383902,43122.023135300624,0.0,0.0,0.0,0.9622001654295769,0.27234324233822105,35.0
89637.01718467119,43123.90033330338,0.0,0.0,0.0,0.9656057545943877,0.2600106280408611,35.0
89634.96120590626,43125.15179863855,0.0,0.0,0.0,0.9225056094289749,0.38598367915246845,35.0
89632.55800830571,43127.134639818934,0.0,0.0,0.0,0.8807548517288327,0.47357247719448603,35.0
89630.68893670123,43129.735087268644,0.0,0.0,0.0,0.8807548517287003,0.4735724771947322,35.0
89628.3148229,43133.1098699,0.0,0.0,0.0,0.8876786755288125,0.4604634285276228,35.0
89626.5962446,43135.5491846,0.0,0.0,0.0,0.8865758413551225,0.4625832655052025,35.0
89624.8893618,43137.9966586,0.0,0.0,0.0,0.8866177348157583,0.46250296465014545,35.0
89623.1819638,43140.4439264,0.0,0.0,0.0,0.886022717946053,0.4636418265034863,35.0
89621.4806511,43142.8958758,0.0,0.0,0.0,0.8858404744325861,0.4639899286159677,35.0
89619.7813115,43145.3490954,0.0,0.0,0.0,0.8840654740746551,0.4673630682340607,35.0
89618.100974,43147.8148295,0.0,0.0,0.0,0.8817338975541988,0.47174710799736924,35.0
89616.4459781,43150.2959718,0.0,0.0,0.0,0.8747329353994254,0.48460529477865233,35.0
89614.8648117,43152.8237383,0.0,0.0,0.0,0.8520352631869781,0.5234843935456882,35.0
89613.5157321,43155.4866665,0.0,0.0,0.0,0.7988249148909662,0.6015635921076347,35.0
89612.6932589,43158.3481709,0.0,0.0,0.0,0.7028539955455397,0.7113341415577284,35.0
89612.7291468,43161.3404789,0.0,0.0,0.0,0.5688843952383383,0.8224175003332006,35.0
89613.7741219,43164.1124982,0.0,0.0,0.0,0.332024351633184,0.9432708147306179,35.0
89616.038489,43165.9320151,0.0,0.0,0.0,0.09576117963897977,0.9954043381833089,35.0
